id,post_url,content,posted_on
pfbid02eUCobhmpcrcF3FsugNasaTfh5jExuMWsiejChC3Uu67kwhztsD48AQRZrYhSfvn7l,https://www.facebook.com/techbasevietnam/posts/pfbid02eUCobhmpcrcF3FsugNasaTfh5jExuMWsiejChC3Uu67kwhztsD48AQRZrYhSfvn7l,"Welcome to Techbase Vietnam ///TECHBASE VIETNAMLevel 10, Saigon Centre - Office Tower 2, 67 Le Loi Street, Ben Nghe Ward, District 1, Ho Chi Minh Citywww.techbasevn.com",2024-05-17T22:13:48.560099
pfbid02NqsNGXb6Enr5Nm7qqHjqXXPggY3RWDm7NhkYQsuMry5o2ZPpxMEKXJz2Z8S3RV8El,https://www.facebook.com/techbasevietnam/posts/pfbid02NqsNGXb6Enr5Nm7qqHjqXXPggY3RWDm7NhkYQsuMry5o2ZPpxMEKXJz2Z8S3RV8El,"AIII PIN HƯ PIN CŨ PIN HẾT, CHO TECHBASE XIN NHA!Hôm nay, Techbase Vietnam xin giới thiệu một ""người bạn mới"" xinh xinh vừa xuất hiện tại văn phòng với sứ mệnh cao cả là đựng những viên pin cũ đã qua sử dụng và tạo mini-habit đến các bạn nhân viên về việc thải pin đúng nơi quy định. Bởi như các bạn đã biết, mỗi cục pin bị vứt ra môi trường hay không xử lý triệt để sẽ làm ô nhiễm 1 mét khối đất và 500 lít nước trong vòng 50 năm do các thành phần gây hại cho môi trường như chì, thủy ngân, cadimi, asen....có trong pin.  Và khi thùng này đầy, các bạn nhân viên trong dự án nhỏ sẽ đem những viên pin cũ đến điểm thu gom pin theo quy định để được xử lý đúng chuẩn. Thông qua dự án nhỏ này, chúng mình hy vọng rằng những hành động nhỏ như thu gom pin đã qua sử dụng sẽ đem lại một thói quen bảo vệ môi trường sống cũng như môi trường làm việc thân thiện hơn. Cùng gieo thói quen nhỏ vì một Trái Đất xanh   !///TECHBASE VIETNAMLevel 10, Saigon Centre - Office Tower 2, 67 Le Loi Street, Ben Nghe Ward, District 1, Ho Chi Minh Citywww.techbasevn.com",2024-05-15T22:13:55.177059
pfbid0piR9UQYdUEgcX9nmpPbHErnRVoTFpLoiQW2EZ7i8ubLd3ZgpsrdmGrhrL3MnU4Wsl,https://www.facebook.com/techbasevietnam/posts/pfbid0piR9UQYdUEgcX9nmpPbHErnRVoTFpLoiQW2EZ7i8ubLd3ZgpsrdmGrhrL3MnU4Wsl,"""𝑛𝑒̂́𝑢 𝑚𝑖̀𝑛ℎ 𝑡𝑟𝑜̂̀𝑛𝑔 𝑚𝑜̣̂𝑡 𝑐𝑎́𝑖 𝑐𝑎̂𝑦..."" - workshop mang THÔNG ĐIỆP XANH đến TECHBASE VIETNAMVậy là đã hai tuần trôi qua, workshop ""nếu mình tròng một cái cây..."" đã nhận được rất nhiều sự yêu mến từ những TBVers . Tại đây, tụi mình đã sử dụng những vật liệu tái chế để tạo ra các công cụ trồng, lựa chọn những hạt giống yêu thích và tự tay gieo trồng chúng . Mỗi ngày trôi qua, từ những hạt giống nhỏ xíu ban đầu nay đã trở thành những chồi non xanh tươi hiện diện khắp văn phòng TBV Những chồi non này đã tạo nên một không gian xanh mới mẻ cho cả văn phòng, mang đến sự tươi mới, niềm vui mới cùng hình ảnh một khu vườn nhỏ trong tương lai . Khi những hạt giống nảy mầm cũng là lúc những món quà nhỏ xinh từ công ty được trao tay mọi người . Những nụ cười rạng rỡ, thích thú bên cạnh ""đứa con tinh thần"" của mình cùng với phần quà nhỏ đã làm cho khoảnh khắc ấy trở nên tuyệt vời hơn bao giờ hết Workshop đã vượt xa ngoài mong đợi với nhiều hạt giống đã được gieo trồng và nảy mầm. Không chỉ tạo ra không khí sôi động và tinh thần đoàn kết giữa các thành viên mà nó còn mang đến một ý nghĩa sâu sắc và một trách nhiệm bền vững với môi trường . Hy vọng vào sự phát triển của những mầm non này, và mong chờ rằng chúng sẽ tiếp tục lớn lên và trở thành những cây xanh  những bông hoa rực rỡ nhất, đẹp nhất  khắp văn phòng Techbase Vietnam.Nào các TBVers ơi, hãy khoe ""chồi"" của mọi người ngay bên dưới cùng tụi mình nha ///TECHBASE VIETNAMLevel 10, Saigon Centre - Office Tower 2, 67 Le Loi Street, Ben Nghe Ward, District 1, Ho Chi Minh Citywww.techbasevn.com",2024-05-10T19:30:00
pfbid02zBdi8QD4oouHRmmB2whuMCN2LCUHMHPPyRoK3XwigUvZnKpsnTwuRiEiKQ8qXuj1l,https://www.facebook.com/techbasevietnam/posts/pfbid02zBdi8QD4oouHRmmB2whuMCN2LCUHMHPPyRoK3XwigUvZnKpsnTwuRiEiKQ8qXuj1l,"Đồng hành cùng Techbase Vietnam khám phá về Clean Code - bí quyết để mã nguồn của bạn luôn gọn gàng và dễ hiểu ///TECHBASE VIETNAMLevel 10, Saigon Centre - Office Tower 2, 67 Le Loi Street, Ben Nghe Ward, District 1, Ho Chi Minh Citywww.techbasevn.com",2024-05-08T19:30:00
pfbid024MKMBMyaZUsmHzcKufPw1H4uhtdf6reXcZeknKUc7bm4XCCpw3WE67Gxrz9y72k3l,https://www.facebook.com/techbasevietnam/posts/pfbid024MKMBMyaZUsmHzcKufPw1H4uhtdf6reXcZeknKUc7bm4XCCpw3WE67Gxrz9y72k3l,"Thuật toán Dijkstra sử dụng chủ yếu trong lĩnh vực nào sau đây? ///TECHBASE VIETNAMLevel 10, Saigon Centre - Office Tower 2, 67 Le Loi Street, Ben Nghe Ward, District 1, Ho Chi Minh Citywww.techbasevn.com",2024-05-03T19:30:00
pfbid0rvjqhmzv9BUfDFSLGEciwahbSU3ScU1TWbnQRVyVgAr1ZyMmhkSjYH8x3GeAQre3l,https://www.facebook.com/techbasevietnam/posts/pfbid0rvjqhmzv9BUfDFSLGEciwahbSU3ScU1TWbnQRVyVgAr1ZyMmhkSjYH8x3GeAQre3l,""" KỲ NGHỈ GOLDEN WEEK - MỘT TRẢI NGHIỆM KHÔNG THỂ BỎ LỠ! Khi mùa xuân chuyển mình vào những ngày cuối cùng, Nhật Bản bước vào một trong những kỳ nghỉ lễ dài nhất và đặc biệt nhất trong năm - Golden Week. Từ cuối tháng 4 đến đầu tháng 5, hàng loạt các ngày lễ quốc gia như Ngày Showa (29/4), Ngày Hiến pháp (3/5), Ngày Xanh (4/5), và Ngày Trẻ em (5/5) tạo nên một tuần lễ vàng thực sự, khi mọi người dành thời gian để nghỉ ngơi, du lịch và tận hưởng những phút giây bên gia đình và bạn bè.Các hoạt động không thể bỏ lỡ trong Golden Week: Tham quan các Điểm du lịch nổi tiếng: Người Nhật tận dụng kỳ nghỉ này để khám phá những địa điểm du lịch trong nước, từ những ngôi đền cổ kính, công viên hoa anh đào, cho đến những khu vui chơi giải trí sôi động. Tham gia Lễ hội địa phương: Mỗi khu vực trên khắp đất nước tổ chức những lễ hội đặc sắc, nơi mọi người có thể thưởng thức ẩm thực truyền thống, tham gia các trò chơi và chiêm ngưỡng pháo hoa rực rỡ. Picnic và BBQ ngoài trời: Với thời tiết mùa xuân dễ chịu, nhiều gia đình và nhóm bạn chọn tổ chức picnic hoặc BBQ tại các công viên hoặc khu vực ngoại ô để tận hưởng không khí trong lành và cảnh quan tuyệt vời. Mua sắm trong các sự kiện giảm giá: Nhiều cửa hàng và trung tâm mua sắm lớn có các chương trình khuyến mãi đặc biệt trong Golden Week, thu hút đông đảo người tiêu dùng. Thư giãn tại Onsen: Đối với nhiều người, Golden Week cũng là cơ hội để thư giãn tại các suối nước nóng (onsen), nơi có thể thả lỏng cơ thể và tâm hồn, tái tạo năng lượng cho những ngày làm việc sắp tới.   Golden Week không chỉ là kỳ nghỉ, mà còn là biểu tượng của sự gắn kết, văn hóa và truyền thống. Và cũng rất vui vì kỳ nghỉ này của người Nhật cũng trùng thời điểm với kỳ nghỉ 30/4 và 1/5 tại Việt Nam  Mong rằng tất cả mọi người đều cùng có được một kỳ nghỉ thật tận hưởng và thư thái ///TECHBASE VIETNAMLevel 10, Saigon Centre - Office Tower 2, 67 Le Loi Street, Ben Nghe Ward, District 1, Ho Chi Minh Citywww.techbasevn.com",2024-05-01T19:30:00
pfbid0kdRzDrQnkCzw9qrbBEMvUMJeXbZo9fmXb9wZgDLzzw5zTMW7rd4zZwYnfbqG5pn2l,https://www.facebook.com/techbasevietnam/posts/pfbid0kdRzDrQnkCzw9qrbBEMvUMJeXbZo9fmXb9wZgDLzzw5zTMW7rd4zZwYnfbqG5pn2l," Buổi seminar ""Generative AI and Chat GPT"" do Khoa Công nghệ Thông tin Đại học Lạc Hồng (LHU) phối hợp cùng Techbase Vietnam tổ chức ngày 21/3/2024 vừa qua đã thu hút sự tham gia của đông đảo sinh viên và giảng viên, mở ra hướng mới trong việc tiếp cận và ứng dụng công nghệ AI vào học tập, giảng dạy và nghiên cứu. Các diễn giả từ Techbase Vietnam và LHU đã cung cấp cái nhìn tổng quan về Generative AI và Chat GPT, từ khái niệm, nguyên lý hoạt động đến ứng dụng thực tiễn trong Giáo dục, Kinh doanh, Y tế và Giải trí. Cuộc thảo luận sôi nổi đã khám phá tiềm năng to lớn của Generative AI và Chat GPT, khơi dậy sự sáng tạo và đam mê công nghệ trong cộng đồng sinh viên tại đây. Sự kiện còn tăng cường mối liên kết giữa Khoa Công nghệ Thông tin và Techbase Vietnam, hứa hẹn những dự án hợp tác và nghiên cứu về ứng dụng AI trong tương lai.///TECHBASE VIETNAMLevel 10, Saigon Centre - Office Tower 2, 67 Le Loi Street, Ben Nghe Ward, District 1, Ho Chi Minh Citywww.techbasevn.com",2024-04-26T19:30:00
pfbid0SSnj3TJ7eDB7WEGgXpk87qBxf93h7vPg7uTZLkeePbamk4w3nn2yth4Gyier8MNBl,https://www.facebook.com/techbasevietnam/posts/pfbid0SSnj3TJ7eDB7WEGgXpk87qBxf93h7vPg7uTZLkeePbamk4w3nn2yth4Gyier8MNBl,"Ngủ ít để khoẻ - Cách người Nhật tối ưu hoá năng suất làm việc.Nhật Bản - đất nước của những nét độc đáo và đầy phong cách. Ngay cả giấc ngủ trưa, người Nhật tiếp cận cũng thật khác biệt!Theo các chuyên gia, việc nghỉ ngơi đúng cách có thể cải thiện năng suất làm việc và giảm căng thẳng. Đó chính là lý do tại sao người Nhật áp dụng Inemuri - ""ngủ gật""  . Nó mang ý nghĩa ""ngủ khi đang làm việc"" hoặc ""ngủ trong khi có mặt"" .  Đây là một kiểu ngủ trưa rất độc đáo chỉ nghỉ ngơi trong thời gian ngắn, và có thể thực hiện ở bất kỳ đâu, ngay cả nơi công cộng. Ngay cả các học sinh cũng được tạo điều kiện nghỉ ngơi sau thời gian học buổi sáng. Học sinh trường trung học Uto, tỉnh Kumamoto, thực hiện ""Thời gian Uto-uto"" sau giờ trưa. Họ sẽ có 10 phút để ngủ gật và sau đó dọn dẹp lớp học. Sự kết hợp giữa giấc ngủ ngắn và dọn dẹp giúp học sinh tươi tắn trong buổi học chiều và giảm thiểu tình trạng ngủ gật. Khảo sát cho thấy tới 80% học sinh cảm thấy tích cực với thói quen này và đạt khá nhiều thành công khi tham gia các hoạt động ngoại khóa. Các chuyên gia cũng khuyên rằng thời gian ngủ ngắn nên chỉ kéo dài từ 10 đến 20 phút - Quá mức này sẽ khiến bạn rơi vào giấc ngủ sâu, gây ra cảm giác mệt mỏi sau khi thức giấc.  Chúng ra có thể tham khảo làm theo cách mà người Nhật tận dụng giấc ngủ ngắn để tối ưu hoá năng suất làm việc. Đón nhận lợi ích của việc nghỉ ngơi đúng cách và không để căng thẳng chiếm lấy bạn. ///TECHBASE VIETNAMLevel 10, Saigon Centre - Office Tower 2, 67 Le Loi Street, Ben Nghe Ward, District 1, Ho Chi Minh Citywww.techbasevn.com",2024-04-24T19:29:00
pfbid0YczreCpthJoB3KoG2FCK1uXpkuKkA6bjKfsYUW6cRqpxLNmpwFAVfchyCQc3c9xLl,https://www.facebook.com/techbasevietnam/posts/pfbid0YczreCpthJoB3KoG2FCK1uXpkuKkA6bjKfsYUW6cRqpxLNmpwFAVfchyCQc3c9xLl,"Cùng khám phá hành trình kiểm thử trong dự án cùng Techbase Vietnam, để cho ra những sản phẩm chất lượng tối ưu nhất nhé. ///TECHBASE VIETNAMLevel 10, Saigon Centre - Office Tower 2, 67 Le Loi Street, Ben Nghe Ward, District 1, Ho Chi Minh Citywww.techbasevn.com",2024-04-19T00:00:00
pfbid02BK4oyPbGuRKCtYiLvBA15FQLua5DHojQBExnNR6HhEXEzvEm2iunq2HdbBRZdr4dl,https://www.facebook.com/techbasevietnam/posts/pfbid02BK4oyPbGuRKCtYiLvBA15FQLua5DHojQBExnNR6HhEXEzvEm2iunq2HdbBRZdr4dl,"Từ hai cô sinh viên năm ấy, bây giờ tụi mình đã trở thành developer tại #techbasevietnam ",2024-04-17T00:00:00
